2025-11-25 10:26:53,932 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=123, Key=None, Value=smaple msg
2025-11-25 10:26:53,935 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=124, Key=None, Value=smaple msg
2025-11-25 10:26:53,937 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=125, Key=None, Value=smaple msg
2025-11-25 10:26:53,939 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=126, Key=None, Value=smaple msg
2025-11-25 10:26:53,941 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=127, Key=None, Value=smaple msg
2025-11-25 10:26:53,942 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=128, Key=None, Value=smaple msg
2025-11-25 10:26:53,944 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=129, Key=None, Value=smaple msg
2025-11-25 10:26:53,947 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=130, Key=None, Value=smaple msg
2025-11-25 10:26:53,949 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=131, Key=None, Value=smaple msg
2025-11-25 10:26:53,951 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=132, Key=None, Value=smaple msg
2025-11-25 10:26:53,955 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=133, Key=None, Value=smaple msg
2025-11-25 10:26:53,957 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=134, Key=None, Value=smaple msg
2025-11-25 10:26:53,958 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=135, Key=None, Value=smaple msg
2025-11-25 10:26:53,960 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=136, Key=None, Value=smaple msg
2025-11-25 10:26:53,962 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=137, Key=None, Value=smaple msg
2025-11-25 10:26:53,964 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=138, Key=None, Value=smaple msg
2025-11-25 10:26:53,966 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=139, Key=None, Value=smaple msg
2025-11-25 10:26:53,969 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=140, Key=None, Value=smaple msg
2025-11-25 10:26:53,971 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=141, Key=None, Value=smaple msg
2025-11-25 10:26:53,975 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=142, Key=None, Value=smaple msg
2025-11-25 10:26:53,978 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=143, Key=None, Value=smaple msg
2025-11-25 10:26:53,980 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=144, Key=None, Value=smaple msg
2025-11-25 10:26:53,981 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=145, Key=None, Value=smaple msg
2025-11-25 10:26:53,983 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=146, Key=None, Value=smaple msg
2025-11-25 10:26:53,984 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=147, Key=None, Value=smaple msg
2025-11-25 10:26:53,987 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=148, Key=None, Value=smaple msg
2025-11-25 10:26:53,988 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=149, Key=None, Value=smaple msg
2025-11-25 10:26:53,991 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=150, Key=None, Value=smaple msg
2025-11-25 10:26:53,993 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=151, Key=None, Value=smaple msg
2025-11-25 10:26:53,995 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=152, Key=None, Value=smaple msg
2025-11-25 10:26:53,996 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=153, Key=None, Value=smaple msg
2025-11-25 10:26:53,997 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=154, Key=None, Value=smaple msg
2025-11-25 10:26:53,999 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=155, Key=None, Value=smaple msg
2025-11-25 10:26:54,001 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=156, Key=None, Value=smaple msg
2025-11-25 10:26:54,003 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=157, Key=None, Value=smaple msg
2025-11-25 10:26:54,004 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=158, Key=None, Value=smaple msg
2025-11-25 10:26:54,007 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=159, Key=None, Value=smaple msg
2025-11-25 10:26:54,009 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=160, Key=None, Value=smaple msg
2025-11-25 10:26:54,010 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=161, Key=None, Value=smaple msg
2025-11-25 10:26:54,012 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=162, Key=None, Value=smaple msg
2025-11-25 10:26:54,013 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=163, Key=None, Value=smaple msg
2025-11-25 10:26:54,015 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=164, Key=None, Value=smaple msg
2025-11-25 10:26:54,017 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=165, Key=None, Value=smaple msg
2025-11-25 10:26:54,019 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=166, Key=None, Value=smaple msg
2025-11-25 10:26:54,021 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=167, Key=None, Value=smaple msg
2025-11-25 10:26:54,022 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=168, Key=None, Value=smaple msg
2025-11-25 10:26:54,023 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=169, Key=None, Value=smaple msg
2025-11-25 10:26:54,025 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=170, Key=None, Value=smaple msg
2025-11-25 10:26:54,026 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=171, Key=None, Value=smaple msg
2025-11-25 10:26:54,028 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=172, Key=None, Value=smaple msg
2025-11-25 10:26:54,030 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=173, Key=None, Value=smaple msg
2025-11-25 10:26:54,031 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=174, Key=None, Value=smaple msg
2025-11-25 10:26:54,033 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=175, Key=None, Value=smaple msg
2025-11-25 10:26:54,034 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=176, Key=None, Value=smaple msg
2025-11-25 10:26:54,036 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=177, Key=None, Value=smaple msg
2025-11-25 10:26:54,037 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=178, Key=None, Value=smaple msg
2025-11-25 10:26:54,039 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=179, Key=None, Value=smaple msg
2025-11-25 10:26:54,040 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=180, Key=None, Value=smaple msg
2025-11-25 10:26:54,041 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=181, Key=None, Value=smaple msg
2025-11-25 10:26:54,042 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=182, Key=None, Value=smaple msg
2025-11-25 10:26:54,044 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=183, Key=None, Value=smaple msg
2025-11-25 10:26:54,045 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=184, Key=None, Value=smaple msg
2025-11-25 10:26:54,046 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=185, Key=None, Value=smaple msg
2025-11-25 10:26:54,048 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=186, Key=None, Value=smaple msg
2025-11-25 10:26:54,049 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=187, Key=None, Value=smaple msg
2025-11-25 10:26:54,050 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=188, Key=None, Value=smaple msg
2025-11-25 10:26:54,051 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=189, Key=None, Value=smaple msg
2025-11-25 10:26:54,052 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=190, Key=None, Value=smaple msg
2025-11-25 10:26:54,053 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=191, Key=None, Value=smaple msg
2025-11-25 10:26:54,054 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=192, Key=None, Value=smaple msg
2025-11-25 10:26:54,055 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=193, Key=None, Value=smaple msg
2025-11-25 10:26:54,057 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=194, Key=None, Value=smaple msg
2025-11-25 10:26:54,058 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=195, Key=None, Value=smaple msg
2025-11-25 10:26:54,059 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=196, Key=None, Value=smaple msg
2025-11-25 10:26:54,060 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=197, Key=None, Value=smaple msg
2025-11-25 10:26:54,062 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=198, Key=None, Value=smaple msg
2025-11-25 10:26:54,064 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=199, Key=None, Value=smaple msg
2025-11-25 10:26:54,065 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=200, Key=None, Value=smaple msg
2025-11-25 10:26:54,066 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=201, Key=None, Value=smaple msg
2025-11-25 10:26:54,068 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=202, Key=None, Value=smaple msg
2025-11-25 10:26:54,069 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=203, Key=None, Value=smaple msg
2025-11-25 10:26:54,070 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=204, Key=None, Value=smaple msg
2025-11-25 10:26:54,071 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=205, Key=None, Value=smaple msg
2025-11-25 10:26:54,073 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=206, Key=None, Value=smaple msg
2025-11-25 10:26:54,074 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=207, Key=None, Value=smaple msg
2025-11-25 10:26:54,075 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=208, Key=None, Value=smaple msg
2025-11-25 10:26:54,076 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=209, Key=None, Value=smaple msg
2025-11-25 10:26:54,077 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=210, Key=None, Value=smaple msg
2025-11-25 10:26:54,077 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=211, Key=None, Value=smaple msg
2025-11-25 10:26:54,078 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=212, Key=None, Value=smaple msg
2025-11-25 10:26:54,079 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=213, Key=None, Value=smaple msg
2025-11-25 10:26:54,080 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=214, Key=None, Value=smaple msg
2025-11-25 10:26:54,081 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=215, Key=None, Value=smaple msg
2025-11-25 10:26:54,082 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=216, Key=None, Value=smaple msg
2025-11-25 10:26:54,083 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=217, Key=None, Value=smaple msg
2025-11-25 10:26:54,084 | INFO | Consumed | Topic=test-topic, Partition=0, Offset=218, Key=None, Value=smaple msg
